Manufacturer,Model Number,Blank,Pmax,PTC,Technology,A_c,N_s,N_p,BIPV,Isc,Voc,Ipmax,Vpmax,NOCT,Tc_pmax,Tc_isc,Tc_voc,Short Side,Long Side,ISC_Rear,Prear_max
Applied Materials,Full Size Single Junction Version 1.0,,414,384.8,Thin Film,5.72,216,1,N,2.9,194.2,2.59,159.8,44.8,-0.3,0.08,-0.33,2.2,2.6,0,0
Applied Materials,Full Size Tandem Junction,,458,420.2,Thin Film,5.72,216,1,N,2.6,280,2.16,216,44.1,-0.368,0.104,-0.401,2.2,2.6,0,0
T-Solar Global,TS370,,370,343.6,Thin Film,5.71,216,12,N,3.24,185,2.71,141,44.8,-0.3,0.08,-0.33,2.198,2.598,0,0
T-Solar Global,TS390,,390,362.3,Thin Film,5.71,216,12,N,3.24,190,2.74,148,44.8,-0.3,0.08,-0.33,2.198,2.598,0,0
T-Solar Global,TS410,,410,381.1,Thin Film,5.71,216,12,N,3.28,191,2.78,149,44.8,-0.3,0.08,-0.33,2.198,2.598,0,0
Shanghai ST Solar,STM325-130,,325,289.9,Mono-c-Si,2.269,130,1,N,5.56,81.25,5,65,47.1,-0.46,0.05,-0.34,1.323,1.715,0,0
Shanghai ST Solar,STM330-130,,330,294.5,Mono-c-Si,2.269,130,1,N,5.64,81.25,5.08,65,47.1,-0.46,0.05,-0.34,1.323,1.715,0,0
Shanghai ST Solar,STM335-130,,335,299.1,Mono-c-Si,2.269,130,1,N,5.73,81.25,5.15,65,47.1,-0.46,0.05,-0.34,1.323,1.715,0,0
Shanghai ST Solar,STM340-130,,340,303.7,Mono-c-Si,2.269,130,1,N,5.81,81.25,5.23,65,47.1,-0.46,0.05,-0.34,1.323,1.715,0,0
Shanghai ST Solar,STM345-130,,345,308.3,Mono-c-Si,2.269,130,1,N,5.9,81.25,5.31,65,47.1,-0.46,0.05,-0.34,1.323,1.715,0,0
Shanghai ST Solar,STM350-130,,350,312.9,Mono-c-Si,2.269,130,1,N,5.98,81.25,5.38,65,47.1,-0.46,0.05,-0.34,1.323,1.715,0,0
Sunpreme Inc.,SNPM-GxB-490,,490,460.4,Thin Film,2.591,96,1,N,9.2,71.8,8.7,56.3,45.5,-0.3,0.01,-0.26,1.308,1.981,0,0
Sunpreme Inc.,SNPM-GxB-500,,500,470,Thin Film,2.591,96,1,N,9.2,72.9,8.7,57.4,45.5,-0.3,0.01,-0.26,1.308,1.981,0,0
Sunpreme Inc.,SNPM-GxB-510,,510,479.6,Thin Film,2.591,96,1,N,9.4,74.7,8.9,57.3,45.5,-0.3,0.01,-0.26,1.308,1.981,0,0
Topsun,TS-S356TA1,,356,311.7,Mono-c-Si,2.564,96,1,N,8.19,57.24,7.72,46.12,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S357TA1,,357,312.6,Mono-c-Si,2.564,96,1,N,8.2,57.33,7.73,46.19,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S358TA1,,358,313.5,Mono-c-Si,2.564,96,1,N,8.21,57.43,7.74,46.26,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S359TA1,,359,314.4,Mono-c-Si,2.564,96,1,N,8.22,57.51,7.76,46.27,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S360TA1,,360,315.3,Mono-c-Si,2.564,96,1,N,8.24,57.54,7.77,46.34,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M361NA1,,361,321.2,Multi-c-Si,2.564,96,1,N,8.07,58.9,7.58,47.63,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S361TA1,,361,316.2,Mono-c-Si,2.564,96,1,N,8.25,57.62,7.78,46.41,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M362NA1,,362,322.1,Multi-c-Si,2.564,96,1,N,8.08,58.99,7.58,47.76,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S362TA1,,362,317.1,Mono-c-Si,2.564,96,1,N,8.26,57.69,7.79,46.47,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M363NA1,,363,323,Multi-c-Si,2.564,96,1,N,8.09,59.08,7.59,47.81,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S363TA1,,363,318,Mono-c-Si,2.564,96,1,N,8.28,57.73,7.8,46.54,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M364NA1,,364,323.9,Multi-c-Si,2.564,96,1,N,8.11,59.1,7.61,47.84,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S364TA1,,364,318.9,Mono-c-Si,2.564,96,1,N,8.29,57.82,7.82,46.55,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M365NA1,,365,324.9,Multi-c-Si,2.564,96,1,N,8.12,59.18,7.63,47.84,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S365TA1,,365,319.8,Mono-c-Si,2.564,96,1,N,8.3,57.9,7.83,46.62,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M366NA1,,366,325.8,Multi-c-Si,2.564,96,1,N,8.13,59.28,7.65,47.85,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S366TA1,,366,320.7,Mono-c-Si,2.564,96,1,N,8.31,57.99,7.85,46.63,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M367NA1,,367,326.7,Multi-c-Si,2.564,96,1,N,8.15,59.29,7.66,47.95,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S367TA1,,367,321.6,Mono-c-Si,2.564,96,1,N,8.32,58.09,7.86,46.7,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M368NA1,,368,327.6,Multi-c-Si,2.564,96,1,N,8.16,59.37,7.67,47.98,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S368TA1,,368,322.5,Mono-c-Si,2.564,96,1,N,8.33,58.17,7.87,46.76,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M369NA1,,369,328.5,Multi-c-Si,2.564,96,1,N,8.18,59.39,7.68,48.05,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S369TA1,,369,323.4,Mono-c-Si,2.564,96,1,N,8.34,58.25,7.88,46.83,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M370NA1,,370,329.4,Multi-c-Si,2.564,96,1,N,8.19,59.48,7.68,48.18,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S370,,370,322.9,Mono-c-Si,2.564,96,1,N,8.07,59.36,7.61,48.65,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S370TA1,,370,324.3,Mono-c-Si,2.564,96,1,N,8.36,58.28,7.89,46.9,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M371NA1,,371,330.3,Multi-c-Si,2.564,96,1,N,8.21,59.5,7.69,48.25,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S371,,371,323.8,Mono-c-Si,2.564,96,1,N,8.1,59.38,7.63,48.69,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S371TA1,,371,325.2,Mono-c-Si,2.564,96,1,N,8.38,58.3,7.91,46.91,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M372NA1,,372,331.3,Multi-c-Si,2.564,96,1,N,8.22,59.59,7.7,48.29,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S372,,372,324.7,Mono-c-Si,2.564,96,1,N,8.12,59.39,7.65,48.71,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S372TA1,,372,326.1,Mono-c-Si,2.564,96,1,N,8.39,58.38,7.92,46.97,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M373NA1,,373,332.2,Multi-c-Si,2.564,96,1,N,8.24,59.6,7.71,48.38,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S373,,373,325.6,Mono-c-Si,2.564,96,1,N,8.14,59.4,7.66,48.73,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S373TA1,,373,327,Mono-c-Si,2.564,96,1,N,8.41,58.4,7.94,46.98,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M374NA1,,374,333.1,Multi-c-Si,2.564,96,1,N,8.25,59.69,7.73,48.39,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S374,,374,326.5,Mono-c-Si,2.564,96,1,N,8.15,59.41,7.68,48.75,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S374TA1,,374,327.9,Mono-c-Si,2.564,96,1,N,8.42,58.49,7.96,46.99,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M375NA1,,375,334,Multi-c-Si,2.564,96,1,N,8.27,59.7,7.75,48.39,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S375,,375,327.4,Mono-c-Si,2.564,96,1,N,8.17,59.42,7.69,48.77,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S375TA1,,375,328.9,Mono-c-Si,2.564,96,1,N,8.44,58.51,7.97,47.06,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M376NA1,,376,334.9,Multi-c-Si,2.564,96,1,N,8.28,59.79,7.77,48.43,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S376,,376,328.3,Mono-c-Si,2.564,96,1,N,8.19,59.43,7.71,48.79,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S376TA1,,376,329.8,Mono-c-Si,2.564,96,1,N,8.46,58.53,7.99,47.06,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M377NA1,,377,335.8,Multi-c-Si,2.564,96,1,N,8.3,59.8,7.78,48.46,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S377,,377,329.2,Mono-c-Si,2.564,96,1,N,8.21,59.43,7.72,48.82,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S377TA1,,377,330.7,Mono-c-Si,2.564,96,1,N,8.47,58.6,8.01,47.07,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M378NA1,,378,336.8,Multi-c-Si,2.564,96,1,N,8.31,59.9,7.8,48.47,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S378,,378,330.1,Mono-c-Si,2.564,96,1,N,8.23,59.46,7.74,48.84,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S378TA1,,378,331.6,Mono-c-Si,2.564,96,1,N,8.48,58.69,8.02,47.14,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M379NA1,,379,337.7,Multi-c-Si,2.564,96,1,N,8.33,59.9,7.81,48.53,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S379,,379,331,Mono-c-Si,2.564,96,1,N,8.25,59.47,7.76,48.86,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S379TA1,,379,332.5,Mono-c-Si,2.564,96,1,N,8.5,58.71,8.03,47.2,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-M380NA1,,380,338.6,Multi-c-Si,2.564,96,1,N,8.34,60,7.83,48.54,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S380,,380,331.9,Mono-c-Si,2.564,96,1,N,8.27,59.48,7.77,48.89,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S380SA1,,380,336.6,Mono-c-Si,2.564,96,1,N,8.51,58.79,8.05,47.21,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S380TA1,,380,333.4,Mono-c-Si,2.564,96,1,N,8.51,58.79,8.05,47.21,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S380VA1,,380,336.3,Mono-c-Si,2.564,96,1,N,8.51,58.79,8.05,47.21,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M381JA1,,381,340.4,Multi-c-Si,2.564,96,1,N,8.35,60.07,7.85,48.56,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M381NA1,,381,339.5,Multi-c-Si,2.564,96,1,N,8.35,60.07,7.85,48.56,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S381,,381,332.8,Mono-c-Si,2.564,96,1,N,8.29,59.49,7.79,48.91,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S381SA1,,381,337.5,Mono-c-Si,2.564,96,1,N,8.53,58.82,8.06,47.28,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S381SA1K,,381,348.8,Mono-c-Si,2.564,96,1,N,8.53,58.82,8.06,47.28,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S381TA1,,381,334.3,Mono-c-Si,2.564,96,1,N,8.53,58.82,8.06,47.28,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S381VA1,,381,337.2,Mono-c-Si,2.564,96,1,N,8.53,58.82,8.06,47.28,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M382JA1,,382,341.3,Multi-c-Si,2.564,96,1,N,8.37,60.09,7.87,48.54,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M382NA1,,382,340.4,Multi-c-Si,2.564,96,1,N,8.37,60.09,7.87,48.54,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S382,,382,333.7,Mono-c-Si,2.564,96,1,N,8.31,59.5,7.81,48.94,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S382SA1,,382,338.4,Mono-c-Si,2.564,96,1,N,8.54,58.9,8.07,47.34,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S382SA1K,,382,349.7,Mono-c-Si,2.564,96,1,N,8.54,58.9,8.07,47.34,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S382TA1,,382,335.2,Mono-c-Si,2.564,96,1,N,8.54,58.9,8.07,47.34,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S382VA1,,382,338.1,Mono-c-Si,2.564,96,1,N,8.54,58.9,8.07,47.34,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M383JA1,,383,342.2,Multi-c-Si,2.564,96,1,N,8.38,60.18,7.88,48.61,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M383NA1,,383,341.3,Multi-c-Si,2.564,96,1,N,8.38,60.18,7.88,48.61,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S383,,383,334.6,Mono-c-Si,2.564,96,1,N,8.33,59.51,7.83,48.96,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S383SA1,,383,339.3,Mono-c-Si,2.564,96,1,N,8.55,58.99,8.08,47.41,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S383SA1K,,383,350.7,Mono-c-Si,2.564,96,1,N,8.55,58.99,8.08,47.41,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S383TA1,,383,336.1,Mono-c-Si,2.564,96,1,N,8.55,58.99,8.08,47.41,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S383VA1,,383,339.1,Mono-c-Si,2.564,96,1,N,8.55,58.99,8.08,47.41,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M384JA1,,384,343.2,Multi-c-Si,2.564,96,1,N,8.4,60.19,7.9,48.61,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M384NA1,,384,342.3,Multi-c-Si,2.564,96,1,N,8.4,60.19,7.9,48.61,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S384,,384,335.5,Mono-c-Si,2.564,96,1,N,8.35,59.52,7.85,48.98,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S384SA1,,384,340.2,Mono-c-Si,2.564,96,1,N,8.57,59.01,8.1,47.41,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S384SA1K,,384,351.6,Mono-c-Si,2.564,96,1,N,8.57,59.01,8.1,47.41,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S384TA1,,384,337,Mono-c-Si,2.564,96,1,N,8.57,59.01,8.1,47.41,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S384VA1,,384,340,Mono-c-Si,2.564,96,1,N,8.57,59.01,8.1,47.41,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M385JA1,,385,344.1,Multi-c-Si,2.564,96,1,N,8.41,60.28,7.91,48.68,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M385NA1,,385,343.2,Multi-c-Si,2.564,96,1,N,8.41,60.28,7.91,48.68,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S385,,385,336.4,Mono-c-Si,2.564,96,1,N,8.36,59.54,7.86,49.03,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S385SA1,,385,341.1,Mono-c-Si,2.564,96,1,N,8.58,59.09,8.12,47.42,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S385SA1K,,385,352.5,Mono-c-Si,2.564,96,1,N,8.58,59.09,8.12,47.42,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S385TA1,,385,337.9,Mono-c-Si,2.564,96,1,N,8.58,59.09,8.12,47.42,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S385VA1,,385,340.9,Mono-c-Si,2.564,96,1,N,8.58,59.09,8.12,47.42,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M386JA1,,386,345,Multi-c-Si,2.564,96,1,N,8.42,60.36,7.92,48.74,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M386NA1,,386,344.1,Multi-c-Si,2.564,96,1,N,8.42,60.36,7.92,48.74,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S386,,386,337.3,Mono-c-Si,2.564,96,1,N,8.37,59.56,7.87,49.07,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S386SA1,,386,342,Mono-c-Si,2.564,96,1,N,8.59,59.16,8.13,47.48,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S386SA1K,,386,353.5,Mono-c-Si,2.564,96,1,N,8.59,59.16,8.13,47.48,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S386TA1,,386,338.8,Mono-c-Si,2.564,96,1,N,8.59,59.16,8.13,47.48,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S386VA1,,386,341.8,Mono-c-Si,2.564,96,1,N,8.59,59.16,8.13,47.48,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M387JA1,,387,345.9,Multi-c-Si,2.564,96,1,N,8.44,60.37,7.94,48.74,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M387NA1,,387,345,Multi-c-Si,2.564,96,1,N,8.44,60.37,7.94,48.74,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S387,,387,338.2,Mono-c-Si,2.564,96,1,N,8.38,59.58,7.88,49.12,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S387SA1,,387,343,Mono-c-Si,2.564,96,1,N,8.61,59.19,8.14,47.55,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S387SA1K,,387,354.4,Mono-c-Si,2.564,96,1,N,8.61,59.19,8.14,47.55,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S387TA1,,387,339.7,Mono-c-Si,2.564,96,1,N,8.61,59.19,8.14,47.55,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S387VA1,,387,342.7,Mono-c-Si,2.564,96,1,N,8.61,59.19,8.14,47.55,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M388JA1,,388,346.8,Multi-c-Si,2.564,96,1,N,8.45,60.46,7.95,48.81,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M388NA1,,388,345.9,Multi-c-Si,2.564,96,1,N,8.45,60.46,7.95,48.81,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S388,,388,339.1,Mono-c-Si,2.564,96,1,N,8.39,59.59,7.89,49.16,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S388SA1,,388,343.9,Mono-c-Si,2.564,96,1,N,8.63,59.21,8.15,47.61,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S388SA1K,,388,355.3,Mono-c-Si,2.564,96,1,N,8.63,59.21,8.15,47.61,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S388TA1,,388,340.6,Mono-c-Si,2.564,96,1,N,8.63,59.21,8.15,47.61,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S388VA1,,388,343.6,Mono-c-Si,2.564,96,1,N,8.63,59.21,8.15,47.61,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M389JA1,,389,347.8,Multi-c-Si,2.564,96,1,N,8.47,60.47,7.97,48.81,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M389NA1,,389,346.8,Multi-c-Si,2.564,96,1,N,8.47,60.47,7.97,48.81,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S389,,389,340,Mono-c-Si,2.564,96,1,N,8.41,59.61,7.91,49.21,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S389SA1,,389,344.8,Mono-c-Si,2.564,96,1,N,8.64,59.28,8.17,47.62,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S389SA1K,,389,356.3,Mono-c-Si,2.564,96,1,N,8.64,59.28,8.17,47.62,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S389TA1,,389,341.5,Mono-c-Si,2.564,96,1,N,8.64,59.28,8.17,47.62,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S389VA1,,389,344.5,Mono-c-Si,2.564,96,1,N,8.64,59.28,8.17,47.62,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M390JA1,,390,348.7,Multi-c-Si,2.564,96,1,N,8.48,60.56,7.98,48.88,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M390NA1,,390,347.8,Multi-c-Si,2.564,96,1,N,8.48,60.56,7.98,48.88,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S390,,390,340.9,Mono-c-Si,2.564,96,1,N,8.42,59.62,7.92,49.25,47.7,-0.52911,0.04407,-0.3672,1.308,1.96,0,0
Topsun,TS-S390SA1,,390,345.7,Mono-c-Si,2.564,96,1,N,8.65,59.37,8.19,47.63,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S390SA1K,,390,357.2,Mono-c-Si,2.564,96,1,N,8.65,59.37,8.19,47.63,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S390TA1,,390,342.5,Mono-c-Si,2.564,96,1,N,8.65,59.37,8.19,47.63,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S390VA1,,390,345.4,Mono-c-Si,2.564,96,1,N,8.65,59.37,8.19,47.63,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M391JA1,,391,349.6,Multi-c-Si,2.564,96,1,N,8.49,60.64,7.99,48.94,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M391NA1,,391,348.7,Multi-c-Si,2.564,96,1,N,8.49,60.64,7.99,48.94,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S391,,391,341.8,Mono-c-Si,2.564,96,1,N,8.43,59.64,7.93,49.31,47.7,-0.52911,0.044,-0.36779,1.308,1.96,0,0
Topsun,TS-S391SA1,,391,346.6,Mono-c-Si,2.564,96,1,N,8.66,59.46,8.2,47.69,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S391SA1K,,391,358.2,Mono-c-Si,2.564,96,1,N,8.66,59.46,8.2,47.69,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S391TA1,,391,343.4,Mono-c-Si,2.564,96,1,N,8.66,59.46,8.2,47.69,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S391VA1,,391,346.4,Mono-c-Si,2.564,96,1,N,8.66,59.46,8.2,47.69,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M392JA1,,392,350.5,Multi-c-Si,2.564,96,1,N,8.51,60.65,8.01,48.94,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M392NA1,,392,349.6,Multi-c-Si,2.564,96,1,N,8.51,60.65,8.01,48.94,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
Topsun,TS-S392,,392,342.8,Mono-c-Si,2.564,96,1,N,8.45,59.66,7.94,49.36,47.7,-0.52911,0.044,-0.36779,1.308,1.96,0,0
Topsun,TS-S392SA1,,392,347.5,Mono-c-Si,2.564,96,1,N,8.67,59.53,8.21,47.75,48.3,-0.46554,0.01044,-0.36359,1.308,1.96,0,0
Topsun,TS-S392SA1K,,392,359.1,Mono-c-Si,2.564,96,1,N,8.67,59.53,8.21,47.75,43.2,-0.44,0.05,-0.33,1.308,1.96,0,0
Topsun,TS-S392TA1,,392,344.3,Mono-c-Si,2.564,96,1,N,8.67,59.53,8.21,47.75,48.4,-0.49758,0.01008,-0.37345,1.308,1.96,0,0
Topsun,TS-S392VA1,,392,347.3,Mono-c-Si,2.564,96,1,N,8.67,59.53,8.21,47.75,50,-0.4366,0.0396,-0.3281,1.308,1.96,0,0
Topsun,TS-M393JA1,,393,351.4,Multi-c-Si,2.564,96,1,N,8.52,60.74,8.02,49.01,50,-0.405,0.0526,-0.3094,1.308,1.96,0,0
Topsun,TS-M393NA1,,393,350.5,Multi-c-Si,2.564,96,1,N,8.52,60.74,8.02,49.01,48.7,-0.43641,0.02492,-0.34287,1.308,1.96,0,0
